Series Name,Series Code,Country Name,Country Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Population, total",SP.POP.TOTL,Gibraltar,GIB,32029,32407,32813,33193,33658,34245,34854,35494,36173,36858,37609,38471,39329
"Population, total",SP.POP.TOTL,Greece,GRC,11045011,10965211,10892413,10820883,10775971,10754679,10732882,10721582,10698599,10569207,10436882,10405588,10388805
"Population, total",SP.POP.TOTL,Greenland,GRL,56810,56483,56295,56114,56186,56172,56023,56225,56367,56653,56661,56865,56836
"Population, total",SP.POP.TOTL,Grenada,GRD,112775,113487,114132,114676,115130,115438,115691,115981,116341,116688,116913,117081,117207
"Population, total",SP.POP.TOTL,Guam,GUM,166331,165966,165486,164905,164233,163490,162679,161808,162158,163730,165180,166506,167777
"Population, total",SP.POP.TOTL,Guatemala,GTM,15089647,15387337,15681725,15971743,16268760,16567357,16845685,17103803,17357325,17598650,17847877,18124838,18406359
"Population, total",SP.POP.TOTL,Guinea,GIN,10921581,11191873,11472924,11767070,12073030,12385659,12704774,13034346,13371183,13710513,14055137,14405468,14754785
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1651417,1695973,1741122,1786457,1831893,1877072,1922168,1967696,2013255,2058841,2105529,2153339,2201352
"Population, total",SP.POP.TOTL,Guyana,GUY,746288,750021,754229,758781,763548,768479,791556,807665,807481,815482,821637,826353,831087
"Population, total",SP.POP.TOTL,Haiti,HTI,10069771,10222362,10373235,10523242,10671457,10817754,10962362,11105163,11243848,11374586,11503606,11637398,11772557
"Population, total",SP.POP.TOTL,Honduras,HND,8715076,8889278,9063122,9237305,9412380,9588137,9765210,9943633,10119640,10289877,10463872,10644851,10825703
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7150100,7178900,7229500,7291300,7336600,7393200,7452600,7507900,7481000,7413100,7346100,7536100,7524100
"Population, total",SP.POP.TOTL,Hungary,HUN,9920362,9872734,9833038,9797755,9759755,9726756,9706964,9694824,9670419,9630932,9605074,9592186,9562314
"Population, total",SP.POP.TOTL,Iceland,ISL,320716,323764,327386,330815,335439,343400,352721,360563,366463,372520,382003,393349,404610
"Population, total",SP.POP.TOTL,India,IND,1278674502,1295829511,1312277191,1328024498,1343944296,1359657400,1374659064,1389030312,1402617695,1414203896,1425423212,1438069596,1450935791
"Population, total",SP.POP.TOTL,Indonesia,IDN,252698525,255852467,258877399,261799249,264627418,267346658,269951846,272489381,274814866,276758053,278830529,281190067,283487931
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,79370580,80414686,81502045,82619362,83812228,85026754,86117998,87051648,87723443,88455488,89524246,90608707,91567738
"Population, total",SP.POP.TOTL,Iraq,IRQ,33654842,35281989,36550059,37560535,38469627,39337353,40265624,41192171,42116605,43071211,44070551,45074049,46042015
"Population, total",SP.POP.TOTL,Ireland,IRL,4599533,4623816,4657740,4701957,4762722,4827445,4898022,4976456,5039747,5110585,5212836,5307600,5380257
"Population, total",SP.POP.TOTL,Isle of Man,IMN,84335,84141,83892,83593,83466,83609,83805,83957,84064,84106,84132,84165,84160
"Population, total",SP.POP.TOTL,Israel,ISR,7910500,8059500,8215700,8380100,8546000,8713300,8882800,9054000,9215100,9371400,9557500,9849000,9974400
"Population, total",SP.POP.TOTL,Italy,ITA,60191247,60311613,60320707,60229605,60115223,60002252,60148658,59729081,59438851,59133173,59013667,58993475,58986023
"Population, total",SP.POP.TOTL,Jamaica,JAM,2772430,2783687,2793749,2802534,2809915,2815764,2820097,2823271,2830739,2837682,2839144,2839786,2839175
"Population, total",SP.POP.TOTL,Japan,JPN,127629000,127445000,127276000,127141000,127076000,126972000,126811000,126633000,126261000,125681593,125124989,124516650,123975371
"Population, total",SP.POP.TOTL,Jordan,JOR,7587127,7991809,8791710,9544729,10006367,10234226,10462306,10671891,10865228,11066356,11256263,11439213,11552876
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,17306106,17556502,17816285,18084169,18363600,18651931,18932727,19209555,19482117,19743603,20034609,20330104,20592571
"Population, total",SP.POP.TOTL,Kenya,KEN,43888303,44986791,46051440,47088526,48139687,49197766,50207107,51202827,52217334,53219166,54252461,55339003,56432944
"Population, total",SP.POP.TOTL,Kiribati,KIR,112284,113838,115326,116815,118478,120275,122084,123921,126099,128377,130469,132530,134518
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,25211728,25329451,25451262,25575350,25698326,25817709,25931147,26037632,26136312,26232534,26328845,26418204,26498823
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,50199853,50428893,50746659,51014947,51217803,51361911,51585058,51764822,51836239,51769539,51672569,51712619,51751065
"Population, total",SP.POP.TOTL,Kosovo,XKX,1807126,1818119,1812788,1788274,1777568,1791019,1797086,1788891,1790151,1786079,1768096,1682668,1527324
"Population, total",SP.POP.TOTL,Kuwait,KWT,3337109,3507844,3665876,3834574,4004096,4154812,4323515,4442316,4400267,4360865,4589643,4853420,4973861
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,5652076,5777150,5905848,6040036,6175338,6306696,6444079,6590211,6726596,6851224,6975220,7099750,7224614
"Population, total",SP.POP.TOTL,Lao PDR,LAO,6518978,6611385,6703172,6801645,6908802,7018147,7128045,7237636,7346533,7453194,7559007,7664993,7769819
"Population, total",SP.POP.TOTL,Latvia,LVA,2034319,2012647,1993782,1977527,1959537,1942248,1927174,1913822,1900449,1884490,1879383,1877445,1862441
"Population, total",SP.POP.TOTL,Lebanon,LBN,5235742,5743436,6346990,6472469,6323060,6160128,5984119,5794594,5702398,5718122,5744489,5773493,5805962
"Population, total",SP.POP.TOTL,Lesotho,LSO,2034354,2056504,2080089,2104611,2130422,2157110,2183603,2209405,2235727,2261542,2286110,2311472,2337423
"Population, total",SP.POP.TOTL,Liberia,LBR,4373043,4470239,4564293,4659431,4755608,4848925,4944726,5043721,5149463,5259323,5373294,5493031,5612817
"Population, total",SP.POP.TOTL,Libya,LBY,6179328,6304628,6427252,6531819,6632126,6738770,6849055,6951033,7045399,7135175,7223805,7305659,7381023
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,36657,36984,37248,37494,37716,37962,38246,38563,38901,39182,39493,39850,40197
"Population, total",SP.POP.TOTL,Lithuania,LTU,2989139,2961250,2937253,2911109,2877325,2842639,2819200,2811089,2810369,2808380,2831639,2871585,2888055
"Population, total",SP.POP.TOTL,Luxembourg,LUX,530946,543360,556319,569604,582014,596336,607950,620001,630419,640064,653103,666430,677717
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,567900,591900,621700,642900,652500,648400,658900,672000,685400,682500,677300,678800,687000
"Population, total",SP.POP.TOTL,Madagascar,MDG,23462438,24109290,24764348,25426702,26099952,26788375,27494926,28219554,28953556,29691083,30437261,31195932,31964956
"Population, total",SP.POP.TOTL,Malawi,MWI,15709577,16161816,16621538,17085587,17557739,18039715,18528081,19025752,19533888,20047258,20568728,21104482,21655286
"Population, total",SP.POP.TOTL,Malaysia,MYS,29662831,30174265,30696137,31232798,31789685,32355644,32910967,33440596,33889558,34282399,34695493,35126298,35557673
"Population, total",SP.POP.TOTL,Maldives,MDV,386818,400070,413617,428154,443308,458287,473099,487731,502118,516154,524106,525994,527799
"Population, total",SP.POP.TOTL,Mali,MLI,16957033,17459615,18020267,18593022,19191289,19813011,20442030,21068405,21713836,22388630,23072640,23769127,24478595
"Population, total",SP.POP.TOTL,Malta,MLT,420028,424810,433481,444220,454505,467106,483903,503912,515490,518150,531113,552747,574346
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,51419,50681,49796,48800,47709,46529,45285,44007,42706,41367,40077,38827,37548
"Population, total",SP.POP.TOTL,Mauritania,MRT,3619034,3734318,3848514,3965959,4086657,4210600,4337685,4467708,4600131,4734874,4875637,5022441,5169395
"Population, total",SP.POP.TOTL,Mauritius,MUS,1255882,1258927,1261208,1262879,1263747,1264887,1265577,1265985,1266014,1266334,1262523,1261041,1259509
"Population, total",SP.POP.TOTL,Mexico,MEX,116818208,118343573,119784261,121072306,122251351,123400057,124573711,125762982,126799054,127648148,128613117,129739759,130861007
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,107890,108121,108396,108716,109075,109481,109909,110282,110916,111624,112114,112630,113160
"Population, total",SP.POP.TOTL,Moldova,MDA,2860324,2859558,2857815,2835978,2803186,2755189,2707203,2664224,2635130,2595809,2528654,2457783,2389275
"Population, total",SP.POP.TOTL,Monaco,MCO,34711,35447,36128,36757,37276,37678,38154,38109,38050,38527,38931,38956,38631
"Population, total",SP.POP.TOTL,Mongolia,MNG,2839705,2899011,2963113,3026864,3088856,3148917,3208189,3267673,3327204,3383741,3433748,3481145,3524788
"Population, total",SP.POP.TOTL,Montenegro,MNE,621418,622587,623744,624651,625353,625982,626438,626753,626590,625053,623591,623529,623831
"Population, total",SP.POP.TOTL,Morocco,MAR,33355241,33787571,34204780,34607588,35023457,35446392,35839760,36210898,36584208,36954442,37329064,37712505,38081173
"Population, total",SP.POP.TOTL,Mozambique,MOZ,24337846,25051611,25788475,26547572,27337105,28166393,29018644,29884380,30783688,31707800,32656246,33635160,34631766
"Population, total",SP.POP.TOTL,Myanmar,MMR,49837446,50262658,50681634,51089056,51495696,51894938,52272247,52640713,53016522,53387102,53756787,54133798,54500091
"Population, total",SP.POP.TOTL,Namibia,NAM,2194654,2252508,2312139,2374300,2439213,2506853,2577327,2650494,2728762,2810548,2889662,2963095,3030131
"Population, total",SP.POP.TOTL,Nauru,NRU,10267,10517,10742,10954,11150,11324,11477,11587,11643,11709,11801,11875,11947
"Population, total",SP.POP.TOTL,Nepal,NPL,27534915,27589996,27672370,27823629,27955462,28011258,28079689,28414064,28966574,29475010,29715436,29694614,29651054
"Population, total",SP.POP.TOTL,Netherlands,NLD,16754962,16804432,16865008,16939923,17030314,17131296,17231624,17344874,17441500,17533044,17700982,17877117,17994237
"Population, total",SP.POP.TOTL,New Caledonia,NCL,271633,276822,281224,283168,283423,283546,283541,283606,284176,285214,287123,289870,292639
"Population, total",SP.POP.TOTL,New Zealand,NZL,4408100,4442100,4516500,4609400,4714100,4813600,4900600,4979200,5090200,5111300,5117100,5245000,5338500
"Population, total",SP.POP.TOTL,Nicaragua,NIC,5901287,5983845,6066492,6149417,6232666,6316231,6400080,6483657,6565267,6644741,6730654,6823613,6916140
"Population, total",SP.POP.TOTL,Niger,NER,17836769,18519898,19215909,19939498,20685753,21435446,22188069,22947757,23717613,24502140,25311973,26159867,27032412
"Population, total",SP.POP.TOTL,Nigeria,NGA,176200625,181049443,185896915,190671878,195443700,200254579,204938755,209485641,213996181,218529286,223150896,227882945,232679478
"Population, total",SP.POP.TOTL,North Macedonia,MKD,1929821,1922716,1917557,1912430,1906313,1898657,1889051,1876262,1856124,1837114,1831712,1827816,1792179
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,53234,52758,52178,51514,50773,49959,49077,48129,47528,46979,46078,45143,44278
"Population, total",SP.POP.TOTL,Norway,NOR,5018573,5079623,5137232,5188607,5234519,5276968,5311916,5347896,5379475,5408320,5457127,5519594,5572272
"Population, total",SP.POP.TOTL,Oman,OMN,3547106,3833913,4002439,4184895,4390877,4537396,4597877,4591241,4522497,4500424,4730226,5049269,5281538
"Population, total",SP.POP.TOTL,Pakistan,PAK,207667125,211073978,214264647,217290883,220138869,223273967,226928892,230800899,235001746,239477801,243700667,247504495,251269164
"Population, total",SP.POP.TOTL,Palau,PLW,17765,17648,17715,17770,17797,17812,17814,17798,17792,17783,17759,17727,17695
"Population, total",SP.POP.TOTL,Panama,PAN,3759256,3825329,3892101,3960035,4029086,4098707,4167860,4234700,4293261,4345405,4400773,4458759,4515577
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,8081390,8302698,8523441,8743246,8961718,9178714,9394513,9609010,9815746,10012896,10203169,10389635,10576502
"Population, total",SP.POP.TOTL,Paraguay,PRY,5897008,5982445,6069811,6159103,6249126,6338660,6427382,6515058,6603739,6684182,6760464,6844146,6929153
"Population, total",SP.POP.TOTL,Peru,PER,29550366,29817919,30115826,30457600,30866494,31324637,31897584,32449303,32838579,33155882,33475438,33845617,34217848
"Population, total",SP.POP.TOTL,Philippines,PHL,100175512,102076336,103767130,105312992,106735719,108119693,109465287,110804683,112081264,113100950,113964338,114891199,115843670
"Population, total",SP.POP.TOTL,Poland,POL,38063164,38040196,38011735,37986412,37970087,37974826,37974750,37965475,37515748,36981559,36821749,36687353,36554707
"Population, total",SP.POP.TOTL,Portugal,PRT,10514844,10457295,10401062,10358076,10325452,10300300,10283822,10286263,10297081,10361831,10434332,10578174,10701636
"Population, total",SP.POP.TOTL,Puerto Rico (US),PRI,3661045,3631427,3585017,3535167,3480432,3410837,3290690,3302691,3281590,3262711,3220137,3203792,3203295
"Population, total",SP.POP.TOTL,Qatar,QAT,1722438,1916426,2151745,2344557,2477113,2545820,2580734,2638657,2794148,2504910,2657333,2656032,2857822
"Population, total",SP.POP.TOTL,Romania,ROU,20058035,19983693,19908979,19815616,19702267,19588715,19473970,19371648,19265250,19122059,19048502,19059479,19069340
"Population, total",SP.POP.TOTL,Russian Federation,RUS,143378447,143805638,144237223,144640716,145015460,145293260,145398106,145453291,145245148,144746762,144236933,143826130,143533851
"Population, total",SP.POP.TOTL,Rwanda,RWA,10829901,11093340,11364757,11640022,11919183,12202060,12487996,12776103,13065837,13355260,13651030,13954471,14256567
"Population, total",SP.POP.TOTL,Samoa,WSM,196498,198268,200037,201782,203499,205415,207582,209780,211944,213779,215261,216663,218019
"Population, total",SP.POP.TOTL,San Marino,SMR,33469,33041,32655,32897,33101,33825,34522,34663,34770,34252,33755,33860,33977
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,189439,193148,196767,200291,203689,206970,210187,213392,217435,221961,226305,230871,235536
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,26168861,27624004,28309273,29816382,30954198,30977355,30196281,30063799,31552510,30784383,32175224,33702731,35300280
"Population, total",SP.POP.TOTL,Senegal,SEN,13310495,13710849,14152102,14593331,15034521,15475002,15914498,16352922,16789219,17220867,17651103,18077573,18501984
"Population, total",SP.POP.TOTL,Serbia,SRB,7201497,7166553,7131787,7095383,7058322,7020858,6982604,6945235,6899126,6834326,6664449,6623183,6587202
"Population, total",SP.POP.TOTL,Seychelles,SYC,88303,89949,91359,93419,94677,95843,96762,97625,98462,99258,119878,119773,121354
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,6551080,6714051,6876385,7037655,7205328,7379299,7554563,7731991,7912558,8094602,8276807,8460512,8642022
"Population, total",SP.POP.TOTL,Singapore,SGP,5312437,5399162,5469724,5535002,5607283,5612253,5638676,5703569,5685807,5453566,5637022,5917648,6036860
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,35023,35854,36672,37471,38249,38996,39712,40385,41008,41571,42139,42749,43350
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5407579,5413393,5418649,5423801,5430798,5439232,5446771,5454147,5458827,5447247,5431752,5426740,5422069
"Population, total",SP.POP.TOTL,Slovenia,SVN,2057159,2059953,2061980,2063531,2065042,2066388,2073894,2088385,2102419,2108079,2112076,2120461,2126324
